seed,pattern,pattern_length,first_occurrence_step,num_occurrences,occurrence_positions
0,motive_5→motive_5→motive_3→motive_3→None→None→None→None→motive_8→motive_8→None→None→None→None→None→None→None→motive_5→motive_5→motive_3→motive_3→None→None→None→None→None→None→None→None→None→None→None→motive_5→motive_5→motive_3→motive_3→None→None→motive_8→motive_8→None→None→None→None→None→None→None→None→None→motive_5→motive_5→motive_3→motive_3→None→None→None→None→None→None→None→None→None→None→None→motive_5→motive_5→motive_3→motive_3→motive_8→motive_8→None→None→None→None→None→None→None→None→None→None→None→motive_5→motive_5→motive_3→motive_3→None→None→None→None→None→None→None→None→None→None→None→motive_5→motive_5→motive_3→motive_3→motive_8→motive_8→None→None→None→None→None→None→None→None→None→None→None→motive_5→motive_5→motive_3→motive_3→None→None→None→None→None→None→None→None→None→None→None→motive_5→motive_5→motive_3→motive_3→motive_8→motive_8→None→None→None→None→None→None→None→None→None→None→None→motive_5→motive_5→motive_3→motive_3→None→None→None→None→None→None,155,0,2,"[0, 645]"
1,None→None→None→motive_5→motive_5→None→None→None→None→None→None→None→None→None→None→None→motive_4→motive_4→motive_2→motive_2→None→None→None→None→None→None→None→None→None→None→None→motive_4→motive_4→motive_2→motive_2→None→None→None→None→None→None→None→None→None→motive_5→motive_5→None→None→None→None→None→None→None→motive_4→motive_4→motive_2→motive_2→None→None→None→None→None→None→None→None→None→None→None→motive_4→motive_4→motive_2→motive_2→None→None→None→None→None→None→None→None→None→None→None→motive_4→motive_4→motive_2→motive_2→None→None→None→None→None→None→motive_5→motive_5→None→None→None→None→None→None→None→None→None→None→motive_4→motive_4→motive_2→motive_2→None→None→None→None→None→None→None→None→None→None→None→motive_4→motive_4→motive_2→motive_2→None→None→None→None→None→None→None→None→None→None→motive_5→motive_5→None→None→None→None→None→None→motive_4→motive_4→motive_2→motive_2→None→None→None→None→None→None→None→None→None→None→None→motive_4→motive_4→motive_2→motive_2→None→None→None→None→None→None→None→None→None→None→None→motive_4→motive_4→motive_2→motive_2→None→None→None→None→None→None→None→motive_5→motive_5→None→None→None→None→None→None→None→None→None→motive_4→motive_4→motive_2→motive_2→None→None→None→None→None→None→None→None→None→None→None→motive_4→motive_4→motive_2→motive_2→None→None→None→None→None→None→None→None→None→None→None→motive_5→motive_5→None→None→None→None→None→motive_4→motive_4→motive_2→motive_2→None→None→None→None→None→None→None→None→None→None→None→motive_4→motive_4→motive_2→motive_2→None→None→None→None→None→None→None→None→None→None→None→motive_4→motive_4→motive_2→motive_2→None→None→None→None→None→None→None→None→motive_5→motive_5→None→None→None→None→None→None→None→None→motive_4→motive_4→motive_2→motive_2→None→None→None→None→None→None→None→None→None→None→None→motive_4→motive_4→motive_2→motive_2→None→None→None→None→None→None→None→None→None→None→None→motive_4→motive_4→motive_2→motive_2→None→None,319,90,2,"[90, 409]"
2,None→None→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→motive_3→motive_3→None→None→None→None→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→motive_3→motive_3→None→None→None→None→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→motive_3→motive_3→None→None→None→None→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→motive_3→motive_3→None→None→None→None→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→motive_3→motive_3→None→None→None→None→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→motive_3→motive_3→None→None→None→None→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→motive_3→motive_3→None→None→None→None→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→motive_3→motive_3→None→None→None→None→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→motive_3→motive_3→None→None→None→None→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→motive_3→motive_3→None→None→None→None→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→motive_3→motive_3→None→None→None→None→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→motive_3→motive_3→None→None→None→None→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→None→None→motive_5→motive_5→motive_1→motive_1→None→None,382,28,2,"[28, 418]"
3,None→None→None→None→None→None→None→motive_6→motive_6→motive_1→motive_1→motive_5→motive_5→motive_4→motive_4→None→None→None→None→None→None→None→None→None→None→motive_6→motive_6→motive_5→motive_5→motive_1→motive_1→motive_4→motive_4→None→None→None→None→None→None→None→None→motive_5→motive_5→motive_6→motive_6→motive_1→motive_1→motive_4→motive_4→None→None→None→motive_5→motive_5→None→None→None→None→None→None→None→motive_6→motive_6→motive_4→motive_4→motive_1→motive_1→motive_5→motive_5→motive_4→motive_4→None→None→motive_6→motive_6→None→motive_1→motive_1→motive_5→motive_5→motive_4→motive_4→None→None→None→None→None→None→None→None→None→motive_6→motive_6→motive_1→motive_1→motive_5→motive_5→motive_4→motive_4→None→None→None,102,227,2,"[227, 329]"
4,motive_6→motive_6→motive_1→motive_1→None→None→None→None→None→None→None→None→None→None→None→None→motive_6→motive_6→motive_1→motive_1→motive_3→motive_3→None→None→None→None→None→None→None→None→None→None→motive_6→motive_6→motive_1→motive_1→None→None→None→None→None→None→None→motive_3→motive_3→None→None→None→motive_6→motive_6→motive_1→motive_1→None→None→None→None→None→None→None→None→None→None→None→None→motive_6→motive_6→motive_1→motive_1→motive_3→motive_3→None→None→None→None→None→None→None→None→None→None→motive_6→motive_6→motive_1→motive_1→None→None→None→None→None→None→None→motive_3→motive_3→None→None→None→motive_6→motive_6→motive_1→motive_1→None→None→None→None→None→None→None→None→None→None→None→None→motive_6→motive_6→motive_1→motive_1→motive_3→motive_3→None→None→None→None→None→None→None→None→None→None→motive_6→motive_6→motive_1→motive_1→None→None→None→None→None→None→None→motive_3→motive_3→None→None→None→motive_6→motive_6→motive_1→motive_1→None→None→None→None→None→None→None→None→None→None→None→None→motive_6→motive_6→motive_1→motive_1→motive_3→motive_3→None→None→None→None→None→None→None→None→None→None→motive_6→motive_6→motive_1→motive_1→None→None→None→None→None→None→None→motive_3→motive_3→None→None→None→motive_6→motive_6→motive_1→motive_1→None→None→None→None→None→None→None→None→None→None→None→None→motive_6→motive_6→motive_1→motive_1→motive_3→motive_3→None→None→None→None→None→None→None→None→None→None→motive_6→motive_6→motive_1→motive_1→None→None→None→None→None→None→None→motive_3→motive_3→None→None→None,240,292,2,"[292, 532]"
5,None→None→None→None→None→None→None→None→motive_5→motive_5→None→None→motive_7→motive_7→motive_2→motive_2→None→None→None→None→None→None→None→None→None→None→None→None→None→None→None→None→motive_7→motive_7→motive_2→motive_2→None→None→None→None→None→motive_5→motive_5→None→None→None→None→None→None→None→None→None→motive_7→motive_7→motive_1→motive_1→None→None→None,59,313,2,"[313, 741]"
6,None→None→motive_5→motive_5→None→None→None→None→None→None→None→None→motive_1→motive_1→None→None→None→None→None→None→None→None→None→motive_5→motive_5→None→None→None→None→None→None→None→None→motive_1→motive_1→None→None→None→None→None→None→None→motive_4→motive_4→None→None→None→None→None→None→motive_5→motive_5→None→None→None→None→None→None→None→None→None→motive_1→motive_1→None→None→None→None→None→None→None→None→motive_5→motive_5→None→None→None,76,156,2,"[156, 337]"
7,motive_2→motive_2→None→None→None→None→None→None→None→None→None→None→None→None→None→None→None→motive_3→motive_3→motive_4→motive_4→None→None→None→None→None→None→None→None→None→motive_2→motive_2→None→None→None→None→None→None→None→None→motive_6→motive_6→None→None→None→motive_4→motive_4→None→None→None→None→None→None→None→None→None→motive_3→motive_3→None→None→None→None→None→None→None→None→None→motive_2→motive_2→motive_4→motive_4→None→None→None→None→None→None→None→None→None→None→None→None→None→motive_3→motive_3→None→None→None→None→None→motive_4→motive_4→None→None→motive_2→motive_2→None→None→None→None→None→None→None→None→None→None→None→None→None→None→None→motive_3→motive_3→motive_4→motive_4→None→None→None→None→None→None→None→None→None→motive_2→motive_2→None→None→None→None→None→None→None→None→motive_6→motive_6→None→None→None→motive_4→motive_4→None→None→None→None→None→None→None→None→None→motive_3→motive_3→None→None→None→None→None→None→None→None→None→motive_2→motive_2→motive_4→motive_4→None→None→None→None→None→None→None→None→None→None→None→None→None→motive_3→motive_3→None→None→None→None→None→motive_4→motive_4→None→None,190,417,2,"[417, 607]"
8,None→None→motive_1→motive_1→motive_4→motive_4→None→None→None→None→None→None→None→None→None→None→None→motive_1→motive_1→motive_4→motive_4→motive_5→motive_5→None→None→motive_1→motive_1→None→None→None→None→None→None→None→None→None→motive_4→motive_4→None→None→motive_1→motive_1→motive_5→motive_5→None→None→None→None→None→None→None→None→None→None→None→None→None→None→motive_4→motive_4→motive_1→motive_1→None→None→None→None→motive_7→motive_7→None→None→None→None→None→None→None→None→None→motive_5→motive_5→None→motive_1→motive_1→motive_4→motive_4→None→None→None→None→None→None→None→None→None→None→None→motive_1→motive_1→motive_4→motive_4→None→None→None→None→None→None→motive_5→motive_5→motive_1→motive_1→None→None→None→None→None→None→None→None→None→None→motive_4→motive_4→None→motive_1→motive_1→None→None→motive_5→motive_5→None→None→None→None→None→None→None→motive_7→motive_7→None→None→None→None→None,142,396,2,"[396, 658]"
9,motive_7→motive_7→None→None→None→None→None→None→None→None→motive_8→motive_8→None→None→None→None→motive_7→motive_7→motive_1→motive_1→None→None→None→None→None→None→None→motive_8→motive_8→motive_7→motive_7→None→None→None→None→None→motive_6→motive_6→None→motive_8→motive_8→None→None→motive_1→motive_1→None→motive_7→motive_7→None→None→None→None→None→None→None→None→motive_8→motive_8→None→None→None→None→motive_7→motive_7→motive_1→motive_1→None→None→None→None→None→None→None→motive_8→motive_8,75,101,2,"[101, 193]"
